"item_id","name","first_reveal","subact","final_payoff","plot_use","limit_cost","misuse_risk","related_mystery","maker","certifier","liability","reproducibility","texture_status"
"T-011","타불라","GA4","","GA9","제국 등록·목록 체계가 계승 분쟁의 증거 창고가 된다","등록되지 않은 것은 다투지도 못한다","목록에서 지우면 권리가 사라진다","M-011","제국 등록청","제국 등록 — 미등록은 다툴 자격 없음","등록 오류는 등록청 귀속","등록 체계라 복제 대상 아님","PENDING_SCENE"
"T-012","유굼","GA4","","GA9","함·기체 결합 규격이 노획 운용의 벽이 된다","진영 간 결합이 안 된다","규격 독점이 곧 함대 독점이다","NONE","진영별 별도 개발","진영마다 다름 — 상호 인정 없음","결합 실패는 양측 분쟁","진영 간 복제가 정치적으로 차단됨","PENDING_SCENE"
"T-013","오벡스","GA3","","GA9","접근 차단 인증을 뚫으면 법적 결과가 따라온다","뚫은 기록이 남는다","권한 없는 차단으로 구조를 막을 수 있다","M-008","제국 공창 및 인가 업체","제국 등급 4 — 뚫은 기록이 남음","사용 기록이 곧 책임 기록","복제 가능, 사용 추적이 억제력","PENDING_SCENE"
"T-014","데쿠리아","GA5","","GA9","편성·보직 표준이 사람을 자리로 환원한다","사람의 사정을 반영하지 못한다","보직 조작으로 특정인을 사지로 보낸다","NONE","제국 인사 체계","제국 행정 인증","배치 실패는 체계 귀속이나 개인이 감당","체계라 복제 대상 아님","PENDING_SCENE"
"T-015","리브라","GA5","","GA10","정비 배분·우선순위 규격이 누구 배가 먼저 고쳐지는지를 정한다","우선순위 밖은 무한 대기다","순위를 조작해 특정 함을 방치한다","NONE","헬릭스 물류 부문","헬릭스 인증","우선순위 밖 대기 손실은 아무도 안 짐","알고리즘 비공개","PENDING_SCENE"
"T-016","크리테리온","GA2","","GA10","헬릭스 인증 판정 기준이 첫 인증 갈등의 근거가 된다","기준 자체를 헬릭스가 정한다","기준을 바꿔 경쟁자를 탈락시킨다","M-016","헬릭스 표준 부문","헬릭스가 기준 자체를 정의","기준 변경 손실은 피인증자 귀속","기준을 복제해도 인정 권한이 없음","PENDING_SCENE"
"T-017","에르곤","GA3","","GA9","효율 최적화 계보가 사람을 줄이는 방향으로 작동한다","효율을 위해 여유를 없앤다","여유 없는 체계가 한 번의 사고로 무너진다","M-016","헬릭스 공정 부문","헬릭스 인증","여유 제거로 인한 사고는 운용자 귀속","복제 가능, 여유 없는 운용이 조건","PENDING_SCENE"
"T-018","신탁시스","GA3","","GA9","제어 계통 문법이 조종 인터페이스의 벽이 된다","다른 문법의 조종사는 못 탄다","문법을 바꿔 특정 조종사를 배제한다","NONE","진영별 조종 문법","진영 인증 — 타 문법 조종사 배제","문법 불일치 사고는 조종사 귀속","학습 비용이 곧 복제 장벽","PENDING_SCENE"
"T-019","디아그노시스","GA2","","GA9","진단 체계가 비인증 접근을 거부해 자가 수리를 막는다","인증 없이는 고장 원인도 모른다","진단 독점으로 수리비를 정한다","M-016","헬릭스 진단 부문","헬릭스 인증 필수","인증 없이 진단하면 결과가 무효","장비 복제 가능, 판정 권한 없음","PENDING_SCENE"
"T-020","아트락토스","GA5","","GA9","방적·복합재 공정이 장갑 성능의 상한을 정한다","공정 설비가 소수 시설에만 있다","시설 하나를 잃으면 공급이 끊긴다","NONE","소수 특수 공정 시설","제국 + 헬릭스 이중 인증","공정 불량은 시설 귀속","설비가 소수라 사실상 복제 불가","PENDING_SCENE"
"T-021","테라폰","GA6","","GA10","의료·구조 서비스 규격이 누가 치료받는지를 정한다","규격 밖 환자는 접수되지 않는다","규격을 이유로 치료를 거부한다","M-019","헬릭스 의료 부문","헬릭스 의료 인증","규격 밖 처치는 시술자 귀속","복제 가능, 규격 인정이 장벽","PENDING_SCENE"
"T-022","오이코노미아","GA5","","GA10","계약·보증 체계가 기술이 아니라 종속의 형태임을 보인다","계약 위반 시 전 계통이 멈춘다","계약으로 자치를 무력화한다","M-016","헬릭스 계약 부문","헬릭스 계약 인증","계약 위반 시 전 계통 정지 — 위반자 귀속","계약 구조라 복제 대상 아님","PENDING_SCENE"
"T-023","개방 서비스 버스","GA1","A2","GA10","07호의 고유 계통이 개방규격 확산의 씨앗이 된다","개방이라 적도 읽는다","공개된 인터페이스가 공격 표면이 된다","M-003","07호 고유 계통, 원 제작 주체 불명","인증 없음 — 개방이라 인증이 무의미","개방 계통 사고는 사용자 귀속","개방이라 복제가 자유, 그래서 적도 읽음","PENDING_SCENE"
"T-024","개방규격 정비 인터페이스","GA3","","GA10","개방규격 확산의 실무 계보가 지역 자립을 만든다","품질 편차가 크다","불량 정비가 개방규격 전체의 평판을 깎는다","M-016","개방규격 공방 다수","개방규격 자율 인증","품질 편차로 인한 사고는 제작 공방 귀속","완전 공개, 품질만 편차","PENDING_SCENE"
"T-025","스미다","GA3","","GA10","변경 벼림·재조립이 자립의 실체를 보인다","재현성이 낮아 개체마다 다르다","검증 없는 부품이 사고를 낸다","NONE","변경 개별 장인","인증 없음","개체차 사고는 제작자 귀속","장인마다 달라 재현성 낮음","PENDING_SCENE"
"T-026","빈다","GA5","","GA10","이종 부품 결속이 변경 함대를 굴러가게 한다","결속부가 피로에 약하다","한계를 모르고 쓰다 파단한다","NONE","변경 공방","변경 자체 인증","결속부 피로 파단은 정비자 귀속","복제 가능","PENDING_SCENE"
"T-027","바르미","GA6","","GA10","열관리 임시변통이 오래 쓰면 부품을 죽인다","수명을 대가로 성능을 얻는다","대가를 숨기고 중고로 판다","NONE","변경 공방","인증 없음 — 수명 단축을 인증할 기관이 없음","수명 소모는 운용자가 알고 감수","복제 쉬움, 대가가 억제력","PENDING_SCENE"
"T-028","리우파","GA7","","GA10","인증 우회가 거짓 호환의 대표 계보가 된다","겉으로는 정상이라 사고 전까지 모른다","거짓 호환으로 사람이 죽는다","M-016","변경 공방","인증 없음","겉으로 정상이라 사고 전까지 책임이 드러나지 않음","복제 쉬움 — 그게 위험","PENDING_SCENE"
"T-029","빈쿨룸","GA8","","GA10","연속성 연결 계통이 시드 구조의 뼈대가 된다","연결이 끊기면 복구가 어렵다","연결을 통해 통제가 전파된다","M-018","복원기 신설 기구","복원 체제 인증","연결 단절 복구 지연은 기구 귀속","복제 가능, 연결망이 자산","PENDING_SCENE"
"T-030","메모리아","GA8","","GA10","기록 보존·재생 계보가 기록전의 대상이 된다","보존은 선별을 전제한다","선별이 곧 삭제다","M-008","기록 보존 기구","보존 인증","선별에서 빠진 것은 아무도 책임지지 않음","복제 가능, 선별 권한이 본체","PENDING_SCENE"
"T-031","레게스타","GA9","","GA10","색인 권한이 지워지면 사람이 사라진다","색인 밖의 존재는 증명이 불가능하다","색인 조작으로 개인을 소거한다","M-018","색인 관리 기구","색인 등록 — 색인 밖은 증명 불가","색인 오류는 관리 기구 귀속","색인 복제는 가능, 권위가 복제 안 됨","PENDING_SCENE"
"T-032","레스티투티오","GA10","","GA10","반환·회복 절차가 이양기의 뼈대가 된다","절차가 느려 그 사이 피해가 계속된다","절차를 지연시켜 사실상 거부한다","M-017","복원 절차 기구","복원 체제 인증","절차 지연 중 발생한 피해는 귀속처가 불명","절차라 복제 대상 아님","PENDING_SCENE"
