"item_id","name","first_reveal","subact","final_payoff","plot_use","limit_cost","misuse_risk","related_mystery","residents","governance","passage_terms","refusal_holder","texture_status"
"N-011","티리스","GA4","","GA9","계승 의례가 열리는 궁정 성계로서 그 대액트의 무대가 된다","황실 관할이라 민간 선박은 사전 청원 후 지정 창구로만 진입한다","청원 기록 자체가 누가 무엇을 알고 싶어 했는지의 명부가 된다","NONE","인구조사 1000M ([[galaxy-612-system-census-v1]])","황실 직할","사전 청원 승인 후 지정 창구","황실 관리청이 청원 기각권","PENDING_SCENE"
"N-012","아르켈","GA9","","GA9","중앙 기록·색인 소재지로서 그 대액트의 무대가 된다","계승 기록 보관지라 접근이 신원 인증에 묶이고 인증 실패는 곧 존재 부정이다","인증 기준을 쥔 쪽이 특정인의 계승 자격을 소급 삭제할 수 있다","NONE","인구조사 1000M ([[galaxy-612-system-census-v1]]) — 기록관 인력 1,200명 상주","황실 계승 관리","신원 인증 통과","인증 총국이 인증 거부권 — 곧 존재 부정","PENDING_SCENE"
"N-013","발다스","GA5","","GA9","함대 사령·조선 집중지로서 그 대액트의 무대가 된다","함대 주둔지라 민간 통행이 훈련 일정에 종속된다","훈련을 상시화하면 봉쇄 선언 없이 항로를 닫을 수 있다","NONE","인구조사 1000M ([[galaxy-612-system-census-v1]]) — 함대 주둔 인원 별도","제국 함대 사령부","훈련 일정에 종속된 통행 창","함대 사령부가 통행 정지권","PENDING_SCENE"
"N-014","코르나","GA4","","GA9","재정·조세 중심로서 그 대액트의 무대가 된다","조선소 물량이 제국 발주로 채워져 민간 수리는 무기한 후순위다","발주를 늘리는 것만으로 경쟁 세력의 함선 유지를 마비시킬 수 있다","NONE","인구조사 1000M ([[galaxy-612-system-census-v1]])","제국 조선청","야드 이용 예약 — 민간은 후순위","조선청이 발주 우선순위 결정권","PENDING_SCENE"
"N-015","유스티스","GA7","","GA9","법정·판결 소재지로서 그 대액트의 무대가 된다","사법 관할지라 판결 전까지 압류 화물이 창고에 묶이고 보관료가 화주에게 쌓인다","심리를 지연시켜 판결 없이 상대를 파산시킬 수 있다","NONE","인구조사 1000M ([[galaxy-612-system-census-v1]])","제국 사법청","압류 화물은 판결까지 창고 유치","사법청이 화물 반출 거부권","PENDING_SCENE"
"N-016","하르콘","GA2","","GA8","헬릭스 인증 본거로서 그 대액트의 무대가 된다","헬릭스 인증 시험장이라 미인증 부품은 하역 자체가 안 된다","인증 기준을 바꾸면 경쟁사 재고를 하루아침에 폐기물로 만들 수 있다","NONE","인구조사 260M ([[galaxy-612-system-census-v1]])","헬릭스 인증 부문","인증 부품만 하역 가능","헬릭스 검사원이 하역 거부권","PENDING_SCENE"
"N-017","렌바르","GA3","","GA8","군수 제조 집적로서 그 대액트의 무대가 된다","정밀 가공 시설이 소수라 예약이 반년 단위로 밀린다","예약 순위를 조정해 특정 계보의 부품 공급을 끊을 수 있다","NONE","인구조사 260M ([[galaxy-612-system-census-v1]])","헬릭스 가공 부문 + 지역 조합","가공 예약 — 반년 대기","가공 시설이 예약 순위 결정권","PENDING_SCENE"
"N-018","미스트랄","GA6","","GA8","대기 환경 특이 성계로서 그 대액트의 무대가 된다","교정 설비가 여기밖에 없어 계측기가 주기적으로 돌아와야 하고, 오는 동안 현장 측정이 무효다","교정 주기를 늦추면 상대의 모든 측정 기록에 이의를 제기할 수 있다","NONE","인구조사 260M ([[galaxy-612-system-census-v1]])","헬릭스 계측 부문","교정 예약 후 계측기 반입","계측 부문이 교정 거부권 — 곧 측정 무효","PENDING_SCENE"
"N-019","아켄","GA2","","GA8","교육·훈련 집중로서 그 대액트의 무대가 된다","자율 계통 시험장이라 시험체 사고 시 책임 주체가 계약서에 따라 달라진다","책임 조항을 설계하면 사람의 판단 실패로 기록을 돌릴 수 있다","NONE","인구조사 260M ([[galaxy-612-system-census-v1]])","헬릭스 자율 계통 부문","시험 참여 계약","계약 조항이 책임 주체를 정함","PENDING_SCENE"
"N-020","소르베","GA6","","GA8","의료·요양 지대로서 그 대액트의 무대가 된다","의료 규격 인증지라 규격 밖 처치는 사후에 불법이 된다","규격을 좁히면 변경 지역의 기존 의료 행위가 전부 무면허가 된다","NONE","인구조사 260M ([[galaxy-612-system-census-v1]])","헬릭스 의료 규격 부문","규격 인증 의료진만 시술","규격 부문이 인증 취소권","PENDING_SCENE"
"N-021","트레노","GA8","","GA8","환승·검역 관문로서 그 대액트의 무대가 된다","추모 시설이라 상업 운항이 제한되고 유지비를 유족 부담으로 걷는다","누구를 추모 대상에 넣을지가 곧 누구의 죽음을 인정할지가 된다","NONE","인구조사 260M ([[galaxy-612-system-census-v1]]) — 관리 300명, 나머지는 유족 방문","추모 기구 평의회","기념일 운항 배정","평의회가 추모 대상 등재 거부권","PENDING_SCENE"
"N-022","카일렌","GA7","","GA8","통신 중계 집중로서 그 대액트의 무대가 된다","중계 노드라 통신이 여기를 지나고 지연이 곧 협상 시간차가 된다","중계를 잠시 늦추는 것만으로 상대의 판단 근거를 낡게 만들 수 있다","NONE","인구조사 260M ([[galaxy-612-system-census-v1]])","헬릭스 통신 부문","중계 계약","중계소가 전송 지연 결정권","PENDING_SCENE"
"N-023","두르가","GA3","","GA10","농업·식량 공급로서 그 대액트의 무대가 된다","제국 등록과 항로연합 협약이 같은 정박지에 서로 다른 요금을 매긴다","요금 차이를 이용해 어느 쪽 관할인지를 선택적으로 주장할 수 있다","M-019","인구조사 100M ([[galaxy-612-system-census-v1]])","제국 등록과 항로연합 협약 병존","관할에 따라 다른 요금","양쪽이 각각 정박 거부권","PENDING_SCENE"
"N-024","옐마","GA6","","GA10","피난민 집결지로서 그 대액트의 무대가 된다","난민 수용 협약이 정원제라 정원을 넘으면 뒤에 온 사람은 통계 밖이다","정원을 낮추면 거절이 아니라 부재로 기록된다","M-019","인구조사 100M ([[galaxy-612-system-census-v1]]) — 난민 수용 정원 12만 별도","난민 수용 협약 관리단","정원 내 등록","관리단이 정원 초과분 접수 거부권","PENDING_SCENE"
"N-025","페트라","GA5","","GA10","광물 채굴로서 그 대액트의 무대가 된다","석재 채굴권이 세 공동체에 나뉘어 있어 한 곳이 빠지면 전체가 멈춘다","한 공동체만 매수해 나머지의 생계를 인질로 잡을 수 있다","M-019","인구조사 100M ([[galaxy-612-system-census-v1]])","세 공동체 공동 관리","세 공동체 모두의 채굴 동의","각 공동체가 개별 거부권","PENDING_SCENE"
"N-026","산크로","GA6","","GA10","종교·의례 중심로서 그 대액트의 무대가 된다","성역 협약으로 무장 진입이 금지돼 방어를 외부 보증에 의존한다","보증을 철회하는 것만으로 무방비 상태를 만들 수 있다","M-019","인구조사 100M ([[galaxy-612-system-census-v1]])","성역 협약 평의회","무장 해제 후 진입","평의회가 진입 거부권, 방어는 외부 보증 의존","PENDING_SCENE"
"N-027","베르둔","GA5","","GA10","요새화된 접경로서 그 대액트의 무대가 된다","전장 인접지라 부상자 수용과 군 보급이 같은 착륙장을 쓴다","군 우선권을 걸면 민간 후송이 합법적으로 밀린다","M-019","인구조사 100M ([[galaxy-612-system-census-v1]]) — 부상자 유입 별도","제국 군정 + 지역 행정","군 우선권에 종속","군이 착륙장 우선 사용권","PENDING_SCENE"
"N-028","오스칸","GA3","","GA10","자유항 겸 밀수 거점로서 그 대액트의 무대가 된다","독립 무장 분파 넷이 구역을 나눠 통행 협상을 네 번 해야 한다","한 분파와만 합의하고 나머지를 위반자로 만들 수 있다","M-019","인구조사 100M ([[galaxy-612-system-census-v1]])","독립 분파 넷이 구역 분할","분파별 개별 통행 협상 네 번","각 분파가 자기 구역 통행 거부권","PENDING_SCENE"
"N-029","타렌","GA5","","GA10","중립 구조망 본거로서 그 대액트의 무대가 된다","자유항이라 등록을 묻지 않는 대신 분쟁 시 보호해 줄 관할도 없다","무등록자를 상대로는 어떤 계약 위반도 제소가 불가능하다","M-019","인구조사 100M ([[galaxy-612-system-census-v1]]) — 무등록 다수 — 등록분보다 많다는 추정만","자유항 운영체","등록 불요","운영체가 입항 거부권, 무등록자는 제소권 없음","PENDING_SCENE"
"N-030","스카디르","GA3","","GA10","변경 독립 근거지로서 그 대액트의 무대가 된다","얼음 채굴지라 채굴이 곧 거주 가능 구역을 깎는다","물 공급을 쥐면 주민을 이주시킬 필요조차 없다","M-019","인구조사 28M ([[galaxy-612-system-census-v1]])","얼음 채굴 조합","채굴 할당 계약","조합이 물 공급 결정권","PENDING_SCENE"
"N-031","볼른","GA5","","GA10","재조립 공방 밀집로서 그 대액트의 무대가 된다","항로 종단점이라 여기서 밀리면 다음 보급까지 표류한다","정박 거부가 사실상의 사형 선고가 된다","M-019","인구조사 28M ([[galaxy-612-system-census-v1]])","항로 종단 관리소","정박 신청","관리소의 정박 거부가 사실상 사형 선고","PENDING_SCENE"
"N-032","그림하","GA7","","GA10","버려진 정착지로서 그 대액트의 무대가 된다","자기폭풍 주기 때문에 통신 두절 구간이 정기적으로 발생한다","두절 구간에 맞춰 움직이면 어떤 행위도 목격되지 않는다","M-019","인구조사 28M ([[galaxy-612-system-census-v1]])","지역 자치체","자기폭풍 주기 확인 후 진입","자치체가 진입 거부권, 두절 중에는 집행 불가","PENDING_SCENE"
"N-033","예르나","GA9","","GA10","얼음 자원 성계로서 그 대액트의 무대가 된다","생명유지가 외부 반입에 전적으로 의존해 계약이 곧 생존 조건이다","계약 조건을 올려도 떠날 수단이 없는 주민은 거절할 수 없다","M-019","인구조사 28M ([[galaxy-612-system-census-v1]]) — 전원이 외부 공급 의존","외부 공급 계약사 실효 지배","생명유지 공급 계약","계약사가 공급 중단권 — 주민은 거절 수단 없음","PENDING_SCENE"
"N-034","툰드리","GA7","","GA10","장기 체류 불가 전초로서 그 대액트의 무대가 된다","영구동토 정착지라 건설이 짧은 해빙기에만 가능하다","해빙기 자재를 늦게 보내면 한 해를 통째로 지연시킬 수 있다","M-019","인구조사 28M ([[galaxy-612-system-census-v1]])","정착 관리단","해빙기 건설 허가","관리단이 자재 배분 결정권","PENDING_SCENE"
"N-035","뇌른","GA10","","GA10","서약 공동체 정착지로서 그 대액트의 무대가 된다","변경 최외곽이라 어떤 관할도 상시 순찰을 유지하지 못한다","구조 의무 없는 구역이라 사고를 방치해도 아무도 책임지지 않는다","M-019","인구조사 28M ([[galaxy-612-system-census-v1]]) — 실효 관할 없어 등록 자체가 갱신되지 않음","실효 관할 없음","통행 신고 대상 없음","없음 — 구조 의무도 없음","PENDING_SCENE"
"N-036","셀바","GA10","","GA10","생태 보전 구역로서 그 대액트의 무대가 된다","복원 후 재정착지라 원주민 귀환권과 신규 정착이 같은 토지를 두고 겹친다","복원을 명분으로 귀환 자격 심사를 통해 원주민을 재선별할 수 있다","M-019","인구조사 28M ([[galaxy-612-system-census-v1]]) — 귀환 원주민과 신규 정착 신청자가 같은 수치 안에 섞여 있음","복원 체제 재정착 기구","귀환 자격 심사 또는 정착 신청","귀환 자격 심사회가 거주 거부권","PENDING_SCENE"
"RT-01","루멘 ↔ K-13","GA1","A3","GA10","학원 보급선","수도권 관문 통과라 통행 기록이 제국 명부에 남는다","정기 통행자의 이동 패턴이 곧 감시 자료가 된다","NONE","정기 운항 여객 연 240만","제국 관문청","통행 기록이 제국 명부에 등재됨","관문청이 통과 거부권","PENDING_SCENE"
"RT-02","K-13 ↔ 백색 도크","GA1","B1","GA10","개막 작전선","학원 전용 단거리라 민간 운항 실적으로 인정되지 않는다","학원이 닫으면 생도는 외부와 물리적으로 끊긴다","NONE","학원 관계자 전용","학원 운영 부문","학원 배차","학원이 운항 중단권 — 곧 외부 단절","PENDING_SCENE"
"RT-03","카엘 ↔ 네리스","GA2","","GA10","공방·청구 순환","농업·광업 성계를 잇는 계절 항로라 수확기 외에는 운항 편수가 급감한다","비수기 봉쇄는 봉쇄로 보이지 않는다","NONE","계절 운항, 수확기 집중","카엘·네리스 양측 항만","수확기 조합 배정","양측 항만이 각각 거부권","PENDING_SCENE"
"RT-04","브란 ↔ 아르디스","GA3","","GA10","산업 간선","헬릭스 채권 관할과 지역 자치가 각각 통행료를 매겨 이중 과금이 된다","한쪽 요금만 내고 다른 쪽을 체납자로 만들 수 있다","NONE","연 90만","헬릭스 채권 관리단과 아르디스 자치","양쪽 통행료 이중 납부","양쪽이 각각 체납 처리권","PENDING_SCENE"
"RT-05","아르디스 ↔ 마른","GA3","","GA10","인양 항로","무등록 노동 이동로라 승객 명부가 실제와 다르다","명부에 없는 승객은 사고 시 탑승 사실 자체를 증명할 수 없다","NONE","승객 명부와 실제가 다름","명목상 아르디스 자치","명부 등재 없이 이동","실질 거부권자 부재 — 사고 시 탑승 증명 불가","PENDING_SCENE"
"RT-06","실렉스 우회","GA2","","GA10","손상 구간 대체선","우회로라 정규 항로보다 길고 중간 보급지가 없다","정규 항로를 닫아 우회를 강제하면 연료 여유가 없는 선박부터 도태된다","NONE","우회 이용 연 30만","관할 없음","중간 보급지 없음","없음 — 연료가 유일한 제약","PENDING_SCENE"
"RT-07","루멘 ↔ 티리스","GA4","","GA10","중앙 통제선","황실 관할 진입로라 사전 청원 승인분만 통과한다","승인 지연으로 도착을 막으면서 거부는 하지 않을 수 있다","NONE","청원 승인분만","황실 관리청","사전 청원 승인","관리청이 승인 지연권","PENDING_SCENE"
"RT-08","발다스 ↔ 베르둔","GA5","","GA10","함대 전개선","함대 주둔지와 전장 인접지를 잇는 군용 우선 항로다","민간 편성에 군 표식을 붙이면 공격 대상이 된다","NONE","군 편성 우선","제국 함대 사령부","군 표식 또는 민간 후순위","사령부가 민간 통행 정지권","PENDING_SCENE"
"RT-09","하르콘 ↔ 렌바르","GA5","","GA10","인증 물류선","인증 시험장과 가공 시설을 잇는 산업 항로라 부품 물류가 전부 여기를 지난다","한 구간 차단으로 제국 전역의 정비 일정이 밀린다","NONE","산업 물류 연 180만 톤","헬릭스 물류 부문","인증 화물만","헬릭스가 구간 차단권 — 제국 전역 정비 지연","PENDING_SCENE"
"RT-10","옐마 ↔ 타렌","GA6","","GA10","피난 회랑","난민 수용지와 자유항을 잇는 항로라 정원 초과분이 이쪽으로 흐른다","자유항이 닫으면 정원 밖 사람들의 다음 목적지가 사라진다","NONE","난민 이동 연 8만","난민 협약 관리단과 자유항 운영체","정원 초과분이 자유항으로","자유항이 입항 거부권","PENDING_SCENE"
"RT-11","오스칸 ↔ 스카디르","GA7","","GA10","회색 계층 통로","독립 분파 구역과 변경을 잇고 네 분파의 묵인 위에서만 열린다","한 분파의 통행 허가가 다른 분파에게는 침입 증거가 된다","NONE","연 12만","네 분파의 묵인","분파별 통행 허가","각 분파가 개별 차단권 — 한쪽 허가가 다른 쪽엔 침입 증거","PENDING_SCENE"
"RT-12","트레노 ↔ 팔림프세스트","GA8","","GA10","기록 접근선","추모 시설과 기록층을 잇는 순례·조사 항로라 운항이 기념일에 몰린다","기념일 운항을 막으면 애도 자체를 막은 것으로 보이지 않는다","NONE","기념일 집중, 연 5만","추모 기구 + 학술 기구","순례 또는 조사 등록","추모 기구가 기념일 운항 배정권","PENDING_SCENE"
"RT-13","아르켈 ↔ 전 대영역","GA9","","GA10","완전 항로 주기","계승 기록 보관지에서 전 대영역으로 뻗는 인증 확산로다","인증을 끊으면 한 성계가 아니라 전 대영역에서 존재가 지워진다","NONE","인증 확산로 — 전 대영역","인증 총국","인증 보유","총국이 인증 차단권 — 전 대영역 존재 소거","PENDING_SCENE"
"RT-14","뇌른 ↔ 셀바","GA10","","GA10","이양기 자율선","복원 재정착지 사이의 신설 항로라 운항 실적이 없어 보험이 붙지 않는다","보험 부재를 이유로 사고 책임을 정착민 개인에게 돌릴 수 있다","NONE","신설, 실적 없음","복원 체제 재정착 기구","운항 신청","보험 미부담으로 사고 책임이 정착민 개인에게","PENDING_SCENE"
